,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
241,19965900.0,Horror,Fright Night,$30 million,R,2011-08-19,106
242,267000.0,Documentary,National Gallery,N/A,Unrated,2014-11-05,183
243,987100.0,Documentary,Patterns of Evidence: The Exodus,N/A,Unrated,2015-01-19,115
244,120700.0,Comedy,Road Hard,N/A,Unrated,2015-03-06,98
245,10200.0,Documentary,The Forecaster,N/A,Unrated,2015-03-27,100
246,163300.0,Foreign,Chakravyuh,N/A,Unrated,2012-10-24,0
247,13572600.0,Concert,Cirque Du Soleil: Worlds Away,N/A,PG,2012-12-21,91
248,1000.0,Documentary,A People Uncounted,N/A,Unrated,2014-05-16,99
249,43827500.0,Thriller,Everest,$55 million,PG-13,2015-09-18,121
250,1999000.0,Drama / Thriller,Assassination,N/A,Unrated,2015-08-07,140
251,1545600.0,Foreign,I,N/A,Unrated,2015-01-13,188
252,4936400.0,Period Drama,Anonymous,$30 million,PG-13,2011-10-28,130
253,53200.0,Foreign,War of the Buttons,N/A,PG-13,2012-10-12,0
254,99600.0,Foreign,Generation War,N/A,Unrated,2014-01-15,270
255,5600.0,Foreign,From Mayerling to Sarajevo,N/A,Unrated,2015-03-27,89
256,43300.0,Action / Adventure,Soldiers of Fortune,N/A,R,2012-08-03,94
257,14746500.0,Drama,Room,N/A,R,2015-10-16,118
258,63800.0,Drama,Frontera,N/A,PG-13,2014-09-05,103
259,797400.0,Documentary,Forks Over Knives,N/A,PG,2011-01-07,90
260,7800.0,Foreign,Domain,N/A,Unrated,2012-01-13,0
261,7638900.0,Comedy / Drama,While We're Young,N/A,R,2015-03-27,94
262,31200.0,Comedy,Don Verdean,N/A,PG-13,2015-12-11,90
263,32670700.0,Horror,Unfriended,"$1,000,000",R,2015-04-17,83
264,303700.0,Documentary,Antarctica: A Year on Ice,N/A,PG,2014-11-28,91
265,1600.0,Documentary,Where Are You Taking Me?,N/A,Unrated,2012-03-02,72
266,6900.0,Documentary,The Beat Hotel,N/A,Unrated,2012-03-30,82
267,29167700.0,Sci-Fi,Cloud Atlas,N/A,R,2012-10-26,164
268,149680000.0,Drama,The Great Gatsby,$105 million,PG-13,2013-05-10,143
269,1630500.0,Documentary,Bill Cunningham New York,N/A,Unrated,2011-03-16,84
270,130465700.0,Drama,The Fault in our Stars,$12 million,PG-13,2014-06-06,125
271,4896500.0,Adventure,The Way,N/A,PG-13,2011-10-07,115
272,132500.0,Foreign,City of Life and Death,$12 million,R,2011-05-11,132
273,22700.0,Foreign,Bonsai,N/A,Unrated,2012-05-11,95
274,168100.0,Sports Drama,Snake and Mongoose,N/A,PG-13,2013-08-09,101
275,5400.0,Comedy,Supporting Characters,N/A,Unrated,2013-01-25,87
276,108600.0,Documentary,Beyond Sight: The Derek Rabelo Story,N/A,PG,2014-03-07,94
277,97915900.0,Family Comedy,The Muppets,$45 million,PG,2011-11-23,120
278,3300.0,Crime Drama,Mi America,N/A,R,2015-10-16,120
279,2700.0,Comedy / Drama,Jake Squared,N/A,R,2014-08-15,100
280,163400.0,Foreign,Beginning of the Great Revival,N/A,Unrated,2011-06-24,124
281,206000.0,Drama,Bol,N/A,Unrated,2011-08-31,165
282,119300.0,Animation,Anohana The Movie: The Flower We Saw That Day,N/A,Unrated,2014-01-18,106
283,1912000.0,Drama,Testament of Youth,N/A,PG-13,2015-06-05,129
284,1036900.0,Drama,5 Flights Up,N/A,PG-13,2015-05-08,92
285,15200.0,Animation,Cheatin',N/A,Unrated,2015-04-03,76
286,24000.0,Drama,Viola,N/A,Unrated,2013-07-12,65
287,19500.0,Documentary,La Camioneta,N/A,Unrated,2013-05-31,0
288,95168800.0,Action,Taken 3,$48 million,PG-13,2015-01-09,109
289,10538400.0,Comedy,I Don't Know How She Does It,$24 million,PG-13,2011-09-16,95
290,62900.0,Comedy,It's a Disaster,N/A,R,2013-04-12,88
291,52800.0,Comedy / Drama,The Discoverers,N/A,Unrated,2014-05-16,104
292,3500.0,Documentary,Plastic Planet,N/A,Unrated,2011-01-14,95
293,18900.0,Drama,Torn,N/A,Unrated,2013-10-18,80
294,49000.0,Foreign,Double Trouble,N/A,Unrated,2012-06-08,90
295,93100.0,Action Drama,Hero,N/A,Unrated,2015-09-11,145
296,4211900.0,Drama,Mr. Turner,N/A,R,2014-12-19,150
297,94513100.0,Action Drama,Real Steel,N/A,PG-13,2011-10-07,127
298,25100.0,Sci-Fi Thriller,The Last Days on Mars,N/A,R,2013-12-06,98
299,340800.0,Crime Thriller,Talvar,N/A,Unrated,2015-10-02,132
300,761400.0,Documentary,56 Up,N/A,Unrated,2013-01-04,144
301,19331500.0,Horror,Chernobyl Diaries,N/A,R,2012-05-25,90
302,67100.0,Documentary,Let the Fire Burn,N/A,Unrated,2013-10-02,95
303,394100.0,Comedy / Drama,The Oranges,N/A,R,2012-10-05,90
304,13900.0,Documentary,The Pleasures of Being Out of Step,N/A,Unrated,2014-05-16,87
305,29041700.0,Sci-Fi Thriller,The Host,$40 million,PG-13,2013-03-29,125
306,21500.0,Comedy,Whensday,N/A,Unrated,2013-08-09,100
307,662100.0,Foreign,Heroine,N/A,Unrated,2012-09-21,140
308,217800.0,Sports Drama,Touchback,N/A,PG-13,2012-04-13,118
309,4259000.0,Comedy / Drama,Frances Ha,N/A,R,2013-05-17,86
310,51900.0,Comedy,A Birder's Guide to Everything,N/A,PG-13,2014-03-21,86
311,1136800.0,Family,Oogieloves In The BIG Balloon Adventure,$20 million,G,2012-08-29,83
312,250500.0,Period Drama,Brighton Rock,$12 million,R,2011-08-26,111
313,70746100.0,Animation,Happy Feet Two,N/A,PG,2011-11-18,105
314,9642100.0,Comedy,Movie 43,$6 million,R,2013-01-25,97
315,19400.0,Drama,Going Away,N/A,Unrated,2015-10-02,95
316,10700.0,Foreign / Horror,Rec 3: Genesis,N/A,R,2012-09-07,80
317,78300.0,Drama,Detachment,N/A,Unrated,2012-03-16,100
318,1100.0,Action,Java Heat,N/A,R,2013-05-10,104
319,9200.0,Foreign,Love is in the Air,N/A,Unrated,2014-01-31,96
320,20300.0,Drama,28 Hotel Rooms,N/A,Unrated,2012-11-09,82
321,31400.0,Documentary,Garbo: The Spy,N/A,Unrated,2011-11-18,87
322,182400.0,Drama,Dark Horse,N/A,Unrated,2012-06-08,84
323,2483700.0,Foreign,No,N/A,R,2013-02-15,118
324,57290900.0,Musical,Footloose,$24 million,PG-13,2011-10-14,113
325,21207800.0,Action,Brick Mansions,$28 million,PG-13,2014-04-25,90
326,111400.0,Foreign,Una Noche,N/A,Unrated,2013-08-23,90
327,568100.0,Concert,Shut Up and Play the Hits,N/A,Unrated,2012-07-18,108
328,53600.0,Documentary,Orgasm Inc.,N/A,Unrated,2011-02-11,80
329,2174600.0,Musical,Jem and the Holograms,$5 million,PG,2015-10-23,118
330,373600.0,Drama,Maps to the Stars,N/A,R,2015-02-27,111
331,8445600.0,Foreign / Action,Dhoom 3,N/A,Unrated,2013-12-20,172
332,227500.0,Foreign,Haute Cuisine,N/A,PG-13,2013-09-20,95
