,Unnamed: 0,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
230,230,14600.0,Animation,War of the Worlds: Goliath,,PG-13,2014-03-07,85
231,231,17212800.0,Horror,Devil's Due,$7 million,R,2014-01-17,89
232,232,2231700.0,Foreign,Incendies,$6.8 million,R,2011-04-22,130
233,233,720900.0,Foreign,Student of the Year,,Unrated,2012-10-19,0
234,234,5000.0,Documentary,Half the Road,,Unrated,2014-04-18,112
235,235,9501600.0,Animation,Un Gallo con Muchos Huevos,$5.3 million,PG-13,2015-09-04,98
236,236,24900.0,Documentary,Happy Valley,,Unrated,2014-11-21,98
237,237,22000.0,Comedy,Wedding Palace,,Unrated,2013-09-27,98
238,238,86500.0,Documentary,More Than Honey,,Unrated,2013-06-12,95
239,239,5600.0,Documentary,Flex is Kings,,Unrated,2014-04-04,83
240,240,290000.0,Documentary,Conan O'Brien Can't Stop,,R,2011-06-24,89
241,241,19965900.0,Horror,Fright Night,$30 million,R,2011-08-19,106
242,242,267000.0,Documentary,National Gallery,,Unrated,2014-11-05,183
243,243,987100.0,Documentary,Patterns of Evidence: The Exodus,,Unrated,2015-01-19,115
244,244,120700.0,Comedy,Road Hard,,Unrated,2015-03-06,98
245,245,10200.0,Documentary,The Forecaster,,Unrated,2015-03-27,100
246,246,163300.0,Foreign,Chakravyuh,,Unrated,2012-10-24,0
247,247,13572600.0,Concert,Cirque Du Soleil: Worlds Away,,PG,2012-12-21,91
248,248,1000.0,Documentary,A People Uncounted,,Unrated,2014-05-16,99
249,249,43827500.0,Thriller,Everest,$55 million,PG-13,2015-09-18,121
250,250,1999000.0,Drama / Thriller,Assassination,,Unrated,2015-08-07,140
251,251,1545600.0,Foreign,I,,Unrated,2015-01-13,188
252,252,4936400.0,Period Drama,Anonymous,$30 million,PG-13,2011-10-28,130
253,253,53200.0,Foreign,War of the Buttons,,PG-13,2012-10-12,0
254,254,99600.0,Foreign,Generation War,,Unrated,2014-01-15,270
255,255,5600.0,Foreign,From Mayerling to Sarajevo,,Unrated,2015-03-27,89
256,256,43300.0,Action / Adventure,Soldiers of Fortune,,R,2012-08-03,94
257,257,14746500.0,Drama,Room,,R,2015-10-16,118
258,258,63800.0,Drama,Frontera,,PG-13,2014-09-05,103
259,259,797400.0,Documentary,Forks Over Knives,,PG,2011-01-07,90
260,260,7800.0,Foreign,Domain,,Unrated,2012-01-13,0
261,261,7638900.0,Comedy / Drama,While We're Young,,R,2015-03-27,94
262,262,31200.0,Comedy,Don Verdean,,PG-13,2015-12-11,90
263,263,32670700.0,Horror,Unfriended,"$1,000,000",R,2015-04-17,83
264,264,303700.0,Documentary,Antarctica: A Year on Ice,,PG,2014-11-28,91
265,265,1600.0,Documentary,Where Are You Taking Me?,,Unrated,2012-03-02,72
266,266,6900.0,Documentary,The Beat Hotel,,Unrated,2012-03-30,82
267,267,29167700.0,Sci-Fi,Cloud Atlas,,R,2012-10-26,164
268,268,149680000.0,Drama,The Great Gatsby,$105 million,PG-13,2013-05-10,143
269,269,1630500.0,Documentary,Bill Cunningham New York,,Unrated,2011-03-16,84
270,270,130465700.0,Drama,The Fault in our Stars,$12 million,PG-13,2014-06-06,125
271,271,4896500.0,Adventure,The Way,,PG-13,2011-10-07,115
272,272,132500.0,Foreign,City of Life and Death,$12 million,R,2011-05-11,132
273,273,22700.0,Foreign,Bonsai,,Unrated,2012-05-11,95
274,274,168100.0,Sports Drama,Snake and Mongoose,,PG-13,2013-08-09,101
275,275,5400.0,Comedy,Supporting Characters,,Unrated,2013-01-25,87
276,276,108600.0,Documentary,Beyond Sight: The Derek Rabelo Story,,PG,2014-03-07,94
