,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
111,2622800.0,Comedy,Kapoor & Sons - Since 1921,N/A,Unrated,2016-03-18 00:00:00,132
112,53346000.0,Drama,13 Hours: The Secret Soldiers of Benghazi,$50 million,R,2016-01-15 00:00:00,144
113,121000.0,Documentary,Eva Hesse,N/A,Unrated,2016-04-27 00:00:00,108
114,7700.0,Documentary,I Don't Belong Anywhere: The Cinema of Chantal Akerman,N/A,Unknown,2016-03-28 00:00:00,67
115,26900.0,Documentary,The Seventh Fire,N/A,Unrated,2016-07-22 00:00:00,76
116,12755200.0,Thriller,Triple 9,N/A,R,2016-02-26 00:00:00,115
117,100.0,Comedy,The Last Film Festival,N/A,R,2016-09-02 00:00:00,90
118,5664800.0,Drama,Captain Fantastic,N/A,R,2016-07-08 00:00:00,114
119,10600.0,Documentary,When Two Worlds Collide,N/A,Unrated,2016-08-17 00:00:00,103
120,3800.0,Comedy,Miss Stevens,N/A,Not Yet Rated,2016-09-16 00:00:00,85
121,11600.0,Drama,River of Grass,N/A,Unrated,2016-03-11 00:00:00,81
122,1046800.0,Drama,Elvis & Nixon,N/A,R,2016-04-22 00:00:00,86
123,126500.0,Drama,Spirits' Homecoming,N/A,Unrated,2016-03-11 00:00:00,127
124,30360700.0,Comedy,"Hail, Caesar!",$22 million,PG-13,2016-02-05 00:00:00,100
125,158400.0,Drama,Sunset Song,N/A,R,2016-05-13 00:00:00,135
126,102100.0,Comedy,Puerto Ricans in Paris,N/A,R,2016-06-10 00:00:00,82
127,18900.0,Documentary,Revelation: Dawn of Global Government,N/A,PG,2016-04-15 00:00:00,106
128,49800.0,Comedy / Drama,The Tenth Man,N/A,Unrated,2016-07-29 00:00:00,80
129,5100.0,Horror Thriller,The Channel,N/A,Unrated,2016-04-08 00:00:00,93
130,25200.0,Comedy,The New Year's Eve of Old Lee,N/A,Unrated,2016-02-12 00:00:00,106
131,20500.0,Adventure Comedy,Band of Robbers,N/A,Unrated,2016-01-15 00:00:00,104
132,60300.0,Drama,Too Late,N/A,Unrated,2016-03-18 00:00:00,109
133,4600.0,Comedy / Drama,A Bit of Bad Luck,N/A,Unrated,2016-05-13 00:00:00,86
134,14402900.0,Comedy,"Hello, My Name is Doris",N/A,R,2016-03-11 00:00:00,95
135,1350100.0,Drama,Genius,N/A,PG-13,2016-06-10 00:00:00,104
136,,,Unable to Process,,,,0
137,6900.0,Documentary,Boom Bust Boom,N/A,Unrated,2016-03-11 00:00:00,74
138,26784600.0,Drama,Florence Foster Jenkins,N/A,PG-13,2016-08-12 00:00:00,110
139,20608000.0,Drama,God's Not Dead 2,N/A,PG,2016-04-01 00:00:00,121
140,60700.0,Documentary,Don't Blink - Robert Frank,N/A,Unrated,2016-07-15 00:00:00,82
141,19400.0,Documentary,Art Bastard,N/A,Unrated,2016-06-03 00:00:00,82
142,6937600.0,Comedy,The Brothers Grimsby,N/A,R,2016-03-11 00:00:00,83
143,77600.0,Sports Drama,Saala Khadoos,N/A,Unrated,2016-01-29 00:00:00,110
144,5800.0,Comedy,Bourek,N/A,Unrated,2016-04-29 00:00:00,90
145,28100.0,Drama,La Notte,N/A,Unrated,2016-09-14 00:00:00,122
146,1400.0,Comedy / Drama,A Beautiful Now,N/A,R,2016-09-02 00:00:00,90
147,5100.0,Documentary,Hooligan Sparrow,N/A,Unrated,2016-07-22 00:00:00,84
148,47200.0,Drama,My King,N/A,Unrated,2016-08-12 00:00:00,125
149,52500.0,Drama,The Club,N/A,Unrated,2016-02-05 00:00:00,98
150,78900.0,Documentary,Colliding Dreams,N/A,Unrated,2016-03-04 00:00:00,134
151,3689700.0,Sci-Fi,Midnight Special,N/A,PG-13,2016-03-18 00:00:00,111
152,50800.0,Drama,In the Shadow of Women,N/A,Unrated,2016-01-15 00:00:00,73
153,123900.0,Drama,A War,N/A,R,2016-02-12 00:00:00,115
154,134400.0,Comedy / Drama,Tumbledown,N/A,R,2016-02-05 00:00:00,105
155,404812200.0,Action / Adventure,Captain America: Civil War,$250 million,PG-13,2016-05-06 00:00:00,147
156,13900.0,Drama,Yosemite,N/A,R,2016-01-01 00:00:00,82
157,31430400.0,Action / Adventure,Gods of Egypt,$140 million,PG-13,2016-02-26 00:00:00,127
158,800.0,Crime Drama,Next Time I'll Aim for the Heart,N/A,Unrated,2016-04-01 00:00:00,111
159,496000.0,Drama,Marguerite,N/A,R,2016-03-11 00:00:00,129
160,28600.0,Drama,"Rabin, the Last Day",N/A,Unrated,2016-01-29 00:00:00,153
161,55700.0,Drama,Wedding Doll,N/A,Unrated,2016-04-15 00:00:00,82
162,8750600.0,Animation,Ratchet & Clank,N/A,PG,2016-04-29 00:00:00,94
163,12100.0,Documentary,Elstree 1976,N/A,Unrated,2016-05-06 00:00:00,101
164,10667400.0,Horror,The Darkness,N/A,PG-13,2016-05-13 00:00:00,92
165,9900.0,Sci-Fi,Into the Forest,N/A,R,2016-07-29 00:00:00,101
166,11200.0,Drama,Viktoria,N/A,Unrated,2016-04-29 00:00:00,155
167,32600.0,Comedy / Drama,Last Cab to Darwin,N/A,Unrated,2016-06-10 00:00:00,123
168,21100.0,Romantic Comedy,Already Tomorrow in Hong Kong,N/A,Unrated,2016-02-12 00:00:00,78
169,36153500.0,Horror,The Boy,$10 million,PG-13,2016-01-22 00:00:00,98
170,201200.0,Crime Thriller,El Clan,N/A,R,2016-03-18 00:00:00,110
171,506900.0,Action Horror,Unsullied,N/A,R,2016-04-22 00:00:00,92
172,556300.0,Action Thriller,Cold War 2,N/A,Unrated,2016-07-08 00:00:00,114
173,570600.0,Horror Comedy,Range 15,N/A,Unrated,2016-06-15 00:00:00,102
174,25356500.0,Horror,The Witch,N/A,R,2016-02-19 00:00:00,92
175,1152300.0,Documentary,The Music of Strangers,N/A,PG-13,2016-06-10 00:00:00,96
176,2500.0,Family,Girl Asleep,N/A,Unrated,2016-09-23 00:00:00,77
177,2000.0,Action,The Vigilante Diaries,N/A,R,2016-06-24 00:00:00,107
178,43300.0,Documentary,Nuts!,N/A,Unrated,2016-06-22 00:00:00,79
179,37200.0,Drama,Trust Fund,N/A,PG,2016-01-08 00:00:00,107
180,27825400.0,Thriller,The Finest Hours,N/A,PG-13,2016-01-29 00:00:00,109
181,10342300.0,Comedy,No Manches Frida,N/A,PG-13,2016-09-02 00:00:00,100
182,607900.0,Documentary,Tickled,N/A,R,2016-06-17 00:00:00,92
183,3027100.0,Horror,The Other Side of the Door,N/A,R,2016-03-04 00:00:00,96
