Rank,Movie,ReleaseDate,Distributor,Genre,MPAA,Gross,Tickets Sold
558,Vanishing on Seventh Street,2/18/2011 0:00:00,Magnet Pictures,Thriller/Suspense,R,22729,2866
559,Black Death,3/11/2011 0:00:00,Magnet Pictures,Horror,R,22554,2844
560,Ceremony,4/8/2011 0:00:00,Magnolia Pictures,Romantic Comedy,R,22270,2808
561,Bheja Fry 2,6/17/2011 0:00:00,,Comedy,Not Rated,22266,2807
562,Garbo: The Spy,11/18/2011 0:00:00,First Run Features,Documentary,Not Rated,22233,2803
563,All's Faire in Love,10/28/2011 0:00:00,Hannover House,Romantic Comedy,PG,22180,2796
564,Answers to Nothing,12/2/2011 0:00:00,Roadside Attractions,Drama,R,22049,2780
565,Incendiary: The Willingham Case,9/23/2011 0:00:00,Truly Indie,Documentary,Not Rated,21882,2759
566,The Arbor,4/27/2011 0:00:00,Strand,Documentary,Not Rated,21610,2725
567,Monogamy,3/11/2011 0:00:00,Oscilloscope Pictures,Drama,Not Rated,21527,2714
568,Night Catches Us,12/3/2010 0:00:00,Magnolia Pictures,Drama,R,21271,2682
569,Rare Exports: A Christmas Tale,12/3/2010 0:00:00,Oscilloscope Pictures,Comedy,R,20917,2637
570,Cameraman: The Life and Work of Jack Cardiff,5/13/2011 0:00:00,Strand,Documentary,Not Rated,20840,2627
571,Griff the Invisible,8/19/2011 0:00:00,Indomina Releasing,Romantic Comedy,PG-13,20778,2620
572,Resurrect Dead: The Mystery of the Toynbee Tiles,9/2/2011 0:00:00,Argot Pictures,Documentary,Not Rated,20726,2613
573,Genesis Code,8/25/2010 0:00:00,America Saga Releasing,Drama,PG,20300,2559
574,Brotherhood,2/18/2011 0:00:00,Phase 4 Films,Thriller/Suspense,R,19722,2487
575,When We Leave,1/28/2011 0:00:00,Olive Films,Drama,Not Rated,19631,2475
576,Skateland,5/13/2011 0:00:00,Freestyle Releasing,Drama,PG-13,19412,2447
577,House of Pleasures,11/25/2011 0:00:00,IFC Films,Drama,Not Rated,19327,2437
578,The Next Three Days,11/19/2010 0:00:00,Lionsgate,Thriller/Suspense,PG-13,19303,2434
579,Four Adventures of Reinette and Mirabelle,7/20/2011 0:00:00,The Film Desk,Comedy,Not Rated,18755,2365
580,Client 9: The Rise and Fall of Eliot Spitzer,11/5/2010 0:00:00,Magnolia Pictures,Documentary,R,18587,2343
581,You Will Meet a Tall Dark Stranger,9/22/2010 0:00:00,Sony Pictures Classics,Drama,R,18230,2298
582,Mesrine: Killer Instinct,8/27/2010 0:00:00,Music Box Films,Drama,R,18218,2297
583,Battle for Brooklyn,6/9/2011 0:00:00,Rooftop Films,Documentary,Not Rated,17981,2267
584,5 Days of War,8/19/2011 0:00:00,Anchor Bay Entertainment,Drama,R,17479,2204
585,Littlerock,8/12/2011 0:00:00,Variance Films,Drama,Not Rated,17309,2182
586,InSight,9/2/2011 0:00:00,Check Entertainment Distribution,Thriller/Suspense,R,17107,2157
587,Feed the Fish,4/23/2010 0:00:00,Strand,Romantic Comedy,Not Rated,17085,2154
588,Mia and the Magoo,3/25/2011 0:00:00,GKIDS,Adventure,PG,16975,2140
589,Trespass,10/14/2011 0:00:00,Alchemy,Thriller/Suspense,R,16816,2120
590,The Last Ride,10/21/2011 0:00:00,,Drama,PG-13,16270,2051
591,London Boulevard,11/11/2011 0:00:00,IFC Films,Drama,R,16075,2027
592,Tyrannosaur,11/18/2011 0:00:00,Strand,Drama,Not Rated,15735,1984
593,Dumbstruck,4/15/2011 0:00:00,Truly Indie,Documentary,PG,15378,1939
594,The Tenant,4/15/2011 0:00:00,Indican Pictures,Thriller/Suspense,Not Rated,15003,1891
595,Ong Bak 3,1/14/2011 0:00:00,Magnet Pictures,Action,R,14890,1877
596,Strange Powers: Stephin Merritt and the Magnetic Fields,10/27/2010 0:00:00,Variance Films,Documentary,Not Rated,14567,1836
597,Armadillo,4/15/2011 0:00:00,Lorber Films,Documentary,Not Rated,14566,1836
598,The Chaperone,2/18/2011 0:00:00,Samuel Goldwyn Films,Comedy,PG-13,14400,1815
599,Peep World,3/25/2011 0:00:00,IFC Films,Comedy,R,14351,1810
600,Guy and Madeline on a Park Bench,11/5/2010 0:00:00,Variance Films,Musical,Not Rated,14284,1801
601,Sahib Biwi Aur Gangster,9/30/2011 0:00:00,UTV Communications,,Not Rated,14231,1794
602,OKA!,10/14/2011 0:00:00,Dada Films,Adventure,Not Rated,14083,1775
603,Sympathy for Delicious,4/29/2011 0:00:00,Maya Releasing,Comedy,R,13826,1743
604,William S. Burroughs: A Man Within,11/17/2010 0:00:00,Oscilloscope Pictures,Documentary,Not Rated,13772,1736
605,Benda Bilili!,9/30/2011 0:00:00,National Geographic Entertainment,Documentary,PG-13,13420,1692
606,Beautiful Darling,4/22/2011 0:00:00,Corinth Films,Documentary,Not Rated,13400,1689
607,Charlotte Rampling: The Look,11/4/2011 0:00:00,Kino Lorber,Documentary,Not Rated,13171,1660
608,Mesrine: Public Enemy No. 1,9/3/2010 0:00:00,Music Box Films,Drama,R,13134,1656
609,Under the Boardwalk: The MONOPOLY Story,3/4/2011 0:00:00,Self Distributed,Documentary,G,13080,1649
610,The Town,9/17/2010 0:00:00,Warner Bros.,Drama,R,13027,1643
611,Bloodworth,5/20/2011 0:00:00,Samuel Goldwyn Films,Drama,R,12971,1635
612,I'm Not Jesus Mommy,5/6/2011 0:00:00,FilmDemic,Thriller/Suspense,R,12620,1591
613,Leap Year,6/24/2011 0:00:00,Strand,Drama,Not Rated,12561,1583
614,Nenette,12/22/2010 0:00:00,Kino International,Documentary,Not Rated,12559,1583
615,America the Beautiful II: The Thin Commandments,10/12/2011 0:00:00,,Documentary,Not Rated,12366,1559
616,Rebrith,8/31/2011 0:00:00,Oscilloscope Pictures,Documentary,Not Rated,12358,1558
617,Back Door Channels,9/16/2011 0:00:00,Fisher-Klingenstein Films,Documentary,Not Rated,12139,1530
618,"If I Want to Whistle, I Whistle",1/5/2011 0:00:00,Film Movement,Drama,Not Rated,12135,1530
619,Elektra Luxx,3/11/2011 0:00:00,Samuel Goldwyn Films,Comedy,R,11514,1451
620,Leaving,10/1/2010 0:00:00,IFC Films,Drama,Not Rated,10977,1384
621,Sarah Palin: You Betcha!,9/30/2011 0:00:00,Freestyle Releasing,Documentary,Not Rated,10935,1378
622,"Marriage, Italian Style",9/23/2011 0:00:00,Kino Classics,Comedy,Not Rated,10600,1336
623,Zero Bridge,2/16/2011 0:00:00,The Film Desk,Drama,Not Rated,10357,1306
624,A Bird of the Air,9/23/2011 0:00:00,Paladin,Romantic Comedy,PG-13,10152,1280
625,Carlos,10/15/2010 0:00:00,IFC Films,Drama,Not Rated,10000,1261
626,A Screaming Man,4/13/2011 0:00:00,Film Movement,Drama,Not Rated,9862,1243
627,Cook County,12/16/2011 0:00:00,Hannover House,Drama,Not Rated,9727,1226
628,Woman With the Five Elephants,7/20/2011 0:00:00,Cinema Guild,Documentary,Not Rated,9256,1167
629,Vito Bonacacci,5/6/2011 0:00:00,CAVU Releasing,Drama,Not Rated,9217,1162
630,The Ledge,7/8/2011 0:00:00,IFC Films,Drama,R,9216,1162
631,Another Happy Day,11/18/2011 0:00:00,Phase 4 Films,Drama,R,9120,1150
632,Special Treatment,8/26/2011 0:00:00,First Run Features,Drama,Not Rated,8856,1116
633,How I Ended This Summer,2/4/2011 0:00:00,Film Movement,Drama,Not Rated,8733,1101
634,I'm Glad My Mother is Alive,9/2/2011 0:00:00,Strand,Drama,Not Rated,8705,1097
635,Korkoro,3/25/2011 0:00:00,Lorber Films,Drama,Not Rated,8242,1039
636,Wrecked,4/1/2011 0:00:00,IFC Films,Thriller/Suspense,R,8020,1011
637,The Heir Apparent: Largo Winch,11/18/2011 0:00:00,Music Box Films,Action,Not Rated,8019,1011
638,Rid of Me,11/18/2011 0:00:00,Phase 4 Films,Black Comedy,Not Rated,8015,1010
639,Certifiably Jonathan,2/11/2011 0:00:00,,Comedy,Not Rated,7826,986
640,John Carpenter's The Ward,7/8/2011 0:00:00,Cinedigm,Horror,R,7760,978
641,Inception,7/16/2010 0:00:00,Warner Bros.,Thriller/Suspense,PG-13,7344,926
642,Good Neighbors,7/29/2011 0:00:00,Magnolia Pictures,Thriller/Suspense,R,7072,891
643,Boxing Gym,10/22/2010 0:00:00,Zipporah,Documentary,Not Rated,6898,869
644,My Piece of the Pie,12/9/2011 0:00:00,IFC Films,Drama,Not Rated,6850,864
645,Janie Jones,10/28/2011 0:00:00,TriBeca Films,Comedy,Not Rated,6840,862
646,Terkel in Trouble,3/26/2010 0:00:00,,Adventure,Not Rated,6584,830
647,Addiction Incorporated,12/14/2011 0:00:00,Variance Films,Documentary,PG-13,6442,812
648,That's What I Am,4/29/2011 0:00:00,Samuel Goldwyn Films,Drama,PG,6400,807
649,I Melt with You,12/9/2011 0:00:00,Magnolia Pictures,Drama,R,6361,802
650,Chillar Party,7/8/2011 0:00:00,UTV Communications,Comedy,Not Rated,6330,798
651,Florent: Queen of the Meat Market,5/20/2011 0:00:00,Self Distributed,Documentary,Not Rated,6282,792
652,The Girlfriends,6/18/2010 0:00:00,The Film Desk,Drama,Not Rated,6042,761
653,The Family Tree,8/26/2011 0:00:00,Entertainment One,Black Comedy,R,6035,761
654,Saint Misbehavin': The Wavy Gravy Movie,12/3/2010 0:00:00,Argot Pictures,Documentary,Not Rated,6006,757
655,Miss Minoes,12/23/2011 0:00:00,Music Box Films,Adventure,PG,5947,749
656,To the Sea,7/14/2010 0:00:00,Film Movement,Drama,Not Rated,5905,744
657,The Imperialists Are Still Alive!,4/15/2011 0:00:00,IFC Films,Drama,Not Rated,5874,741
658,Rage,1/28/2011 0:00:00,Strand,Thriller/Suspense,Not Rated,5594,705
659,Elevate,10/21/2011 0:00:00,Variance Films,Documentary,PG,5580,703
660,Aurora,6/29/2011 0:00:00,Cinema Guild,Drama,Not Rated,5558,700
661,My Joy,9/30/2011 0:00:00,Kino Lorber,Drama,Not Rated,5457,688
662,Sons of Perdition,2/18/2011 0:00:00,,Documentary,R,5401,681
663,Genius Within: The Inner Life of Glenn Gould,9/10/2010 0:00:00,Lorber Films,Documentary,Not Rated,5386,679
664,The Worst Movie EVER!,8/19/2011 0:00:00,Hiltz Squared,Comedy,Not Rated,5303,668
665,Tanner Hall,9/9/2011 0:00:00,Anchor Bay Entertainment,Drama,R,5073,639
666,Flypaper,8/19/2011 0:00:00,IFC Films,Comedy,Not Rated,5043,636
667,Come Undone,12/3/2010 0:00:00,Film Movement,Drama,Not Rated,5037,635
668,Burke & Hare,9/9/2011 0:00:00,IFC Films,Black Comedy,R,4833,609
669,"Scheherazade, Tell Me a Story",2/25/2011 0:00:00,ArtMattan Productions,Drama,Not Rated,4726,595
670,The Catechism Cataclysm,10/19/2011 0:00:00,IFC Midnight,Comedy,Not Rated,4373,551
671,Fancypants,9/30/2011 0:00:00,Humble Pie Films,Comedy,PG-13,4227,533
672,Daylight,7/15/2011 0:00:00,Cinema Purgatorio,Thriller/Suspense,Not Rated,4171,525
673,Caterpillar,5/6/2011 0:00:00,Lorber Films,Drama,Not Rated,4157,524
674,To Die Like A Man,4/8/2011 0:00:00,Strand,Musical,Not Rated,4029,508
675,Building Hope,6/3/2011 0:00:00,The Nobility Project,Documentary,Not Rated,4000,504
676,Ranchero,7/15/2011 0:00:00,Indican Pictures,Drama,Not Rated,3826,482
677,Zenith,10/1/2010 0:00:00,Cinema Purgatorio,Thriller/Suspense,Not Rated,3801,479
678,The Harvest/La Cosecha,7/29/2011 0:00:00,Cinema Libre,Documentary,Not Rated,3709,467
679,Passion Play,5/6/2011 0:00:00,Image Entertainment,Drama,R,3669,462
680,Raymond Did It,2/11/2011 0:00:00,Plastic Age Productions,Horror,Not Rated,3632,458
681,Mississippi Mermaid,1/15/1999 0:00:00,MGM,Drama,R,3244,409
